Справочник БИК;;;;;;;;;;
Актуально на 28.05.2023. Всего записей — 1397.;;;;;;;;;;
Подготовлено сайтом bik10.ru;;;;;;;;;;
Справочник БИК онлайн;;;;;;;;;;
БИК;Регион;Почтовый индекс;Город;Адрес;Наименование;Телефон;Корреспондентский счет;Регистрационный номер;Тип организации;Дата внесения
045004001;50;630099;Новосибирск;Красный пр-т, 27;СИБИРСКОЕ ГУ БАНКА РОССИИ;(383)2176357,2176396;;;Главное управление/Отделение (НБ);1994-01-20
044525000;45;115035;Москва 35;ул Балчуг, 2;ГУ БАНКА РОССИИ ПО ЦФО;(495)9502156;;;Главное управление/Отделение (НБ);1998-03-10
040507001;05;690990;Владивосток;ул Светланская, 71;ДАЛЬНЕВОСТОЧНОЕ ГУ БАНКА РОССИИ;(423)2406514,2406507;;;Главное управление/Отделение (НБ);1994-01-20
044030001;40;191038;Санкт-Петербург;наб р.Фонтанки, 68, 70, 72, 74;СЕВЕРО-ЗАПАДНОЕ ГУ БАНКА РОССИИ;(812)3203561,3203516;;;Главное управление/Отделение (НБ);1994-01-20
046577001;65;620144;Екатеринбург;ул Циолковского, 18;УРАЛЬСКОЕ ГУ БАНКА РОССИИ;(343)2696540,2696707;;;Главное управление/Отделение (НБ);1994-01-20
040349001;03;350000;Краснодар;ул им. Кондратенко Н.И., 12;ЮЖНОЕ ГУ БАНКА РОССИИ;(861)2779798,2779813;;;Главное управление/Отделение (НБ);1994-01-20
042202001;22;603008;Нижний Новгород;ул Б. Покровская, 26;ВОЛГО-ВЯТСКОЕ ГУ БАНКА РОССИИ;(831)2495490,4319783;;;Главное управление/Отделение (НБ);1994-01-20
040147000;01;659300;Бийск;ул. Владимира Ленина, 127;РКЦ БИЙСК;(3854)327289,328409;;;Расчетно-кассовый центр;1994-01-20
040395000;03;353900;Новороссийск;ул Советов, 47;РКЦ НОВОРОССИЙСК;(8617)644993,643494;;;Расчетно-кассовый центр;1994-01-20
040396000;03;354000;Сочи;ул Орджоникидзе, 2;РКЦ СОЧИ;(862)2622913,2622045;;;Расчетно-кассовый центр;1994-01-20
040708000;07;357500;Пятигорск;проспект Кирова, 25, помещение 1;РКЦ ПЯТИГОРСК;(8793)330831,330834;;;Расчетно-кассовый центр;1994-01-20
049820000;98;678144;Ленск;ул Ленина, 70;РКЦ ЛЕНСК;(41137)42511,42514;;;Расчетно-кассовый центр;1994-01-20
040816000;08;682800;Советская Гавань;ул Советская, 26;РКЦ СОВЕТСКАЯ ГАВАНЬ;(8238)45325,45483;;;Расчетно-кассовый центр;1994-01-20
044083000;40;195253;Санкт-Петербург;пр-т Энергетиков, 45;МРХ СЕВЕРО-ЗАПАДНОГО ГУ БАНКА РОССИИ;(812)2263181;;;Расчетно-кассовый центр;2002-09-06
044012000;40;196158;Санкт-Петербург;Московское ш, 27;КЦ СЕВЕРО-ЗАПАДНОГО ГУ БАНКА РОССИИ;(812)3205803;;;Расчетно-кассовый центр;1999-12-17
045853000;58;182110;Великие Луки;пр-т Ленина, 47;РКЦ ВЕЛИКИЕ ЛУКИ;(81153)46401,46440;;;Расчетно-кассовый центр;1994-01-20
049246000;92;423581;Нижнекамск;ул Баки Урманче, 8;РКЦ НИЖНЕКАМСК;(8555)341608,341342;;;Расчетно-кассовый центр;1994-01-20
041125000;11;166000;Нарьян-Мар;ул Ленина, 36;РКЦ НАРЬЯН-МАР;(81853)43045,42945;;;Расчетно-кассовый центр;1996-05-07
048718000;87;169906;Воркута;ул Мира, 24;РКЦ ВОРКУТА;(82151)36190,34767;;;Расчетно-кассовый центр;1994-01-20
044906000;49;174400;Боровичи;ул Толстого, 27/39;РКЦ БОРОВИЧИ;(81664)91114;;;Расчетно-кассовый центр;1994-01-20
042282000;22;603146;Нижний Новгород;ул Бекетова, 73;РКЦ СОВЕТСКИЙ;(831)4682656,4610212;;;Расчетно-кассовый центр;1994-01-20
046521000;65;624992;Серов;ул Льва Толстого, 20;РКЦ СЕРОВ;(34385)69285,69582;;;Расчетно-кассовый центр;1994-01-20
043678000;36;445037;Тольятти;ул Юбилейная, 31;РКЦ ТОЛЬЯТТИ;(8482)335384,334486;;;Расчетно-кассовый центр;1994-01-20
047186000;71;629730;Надым;ул Зверева, 10;РКЦ НАДЫМ;(3499)531049;;;Расчетно-кассовый центр;1994-01-20
040508000;05;692525;Уссурийск;ул Некрасова, 102;РКЦ УССУРИЙСК;(4234)335466,335077;;;Расчетно-кассовый центр;1994-01-20
041856000;18;404111;Волжский;ул Сталинградская, 13;РКЦ ВОЛЖСКИЙ;(8443)310762,310512;;;Расчетно-кассовый центр;1994-01-20
040715000;07;357700;Кисловодск;ул Куйбышева, 68;РКЦ КИСЛОВОДСК;(87937)79296,79591;;;Расчетно-кассовый центр;1994-01-20
046510000;65;622001;Нижний Тагил;ул Карла Маркса, 31;РКЦ НИЖНИЙ ТАГИЛ;(3435)418236,250611;;;Расчетно-кассовый центр;1994-01-20
048337000;83;361200;Терек;ул Панагова, 120;РКЦ ТЕРЕК;(86632)42319;;;Расчетно-кассовый центр;1994-01-20
041946000;19;162600;Череповец;Советский пр-т, 12;РКЦ ЧЕРЕПОВЕЦ;(8202)512501,512503;;;Расчетно-кассовый центр;1994-01-20
047520000;75;456200;Златоуст;ул Ленина, 4;РКЦ ЗЛАТОУСТ;(3513)620729,622153;;;Расчетно-кассовый центр;1994-01-20
049209000;92;420110;Казань;ул Братьев Касимовых, 45;РКЦ ПРИВОЛЖСКИЙ;(843)2350661,2350662;;;Расчетно-кассовый центр;1994-01-20
047162000;71;628011;Ханты-Мансийск;ул Комсомольская, 47;РКЦ ХАНТЫ-МАНСИЙСК;(3467)331012,331354;;;Расчетно-кассовый центр;1994-01-20
047182000;71;629007;Салехард;ул Ленина, 51;РКЦ САЛЕХАРД;(34922)40829,40781;;;Расчетно-кассовый центр;1994-01-20
048708000;87;169600;Печора;Печорский пр-т, 23;РКЦ ПЕЧОРА;(82142)72141,71541;;;Расчетно-кассовый центр;1994-01-20
040510000;05;692904;Находка;Находкинский пр-т, 13;РКЦ НАХОДКА;(4236)741540,657007;;;Расчетно-кассовый центр;1994-01-20
045795000;57;618554;Соликамск;ул 20 Лет Победы, 122;РКЦ СОЛИКАМСК;(34253)48903;;;Расчетно-кассовый центр;1994-01-20
047516000;75;455002;Магнитогорск;ул Кирова, 78;РКЦ МАГНИТОГОРСК;(3519)247959,247452;;;Расчетно-кассовый центр;1994-01-20
043209000;32;654005;Новокузнецк;ул Орджоникидзе, 8;РКЦ НОВОКУЗНЕЦК;(3843)464991;;;Расчетно-кассовый центр;1994-01-20
047169000;71;628605;Нижневартовск;ул 60 лет Октября, 59 А;РКЦ НИЖНЕВАРТОВСК;(3466)442111,443000;;;Расчетно-кассовый центр;1994-01-20
040825000;08;681024;Комсомольск-на-Амуре;пр-т Первостроителей, 19;РКЦ КОМСОМОЛЬСК-НА-АМУРЕ;(4217)536102,543747;;;Расчетно-кассовый центр;1994-01-20
048047000;80;452754;Туймазы;ул Островского, 8;РКЦ ТУЙМАЗЫ;(34782)75619,78136;;;Расчетно-кассовый центр;1994-01-20
