links-href;Article;Name;Brand;Garantee;Opis;Characteris;Price;;Стабилизаторы
https://kremlinstore.ru/product/stabilizator-elektronnyy-moza-mini-mi/;14172;Стабилизаторozaini-Miлямартфона;Moza;12мес.);Новыйобильныйтабилизаторozaмеетазвитыерганыправленияъемкойтабилизатором.олесоаукояткеналогичноем,тоспользуютсярофессиональныхотоаппаратахидеоамерахозволяетправлятьлавноокусировкойуммированием.евероятноощныеоторыпособныаботатьагрузкойо00рамм,озволяяовеситьюбоймартфонажеополнительнымборудованием,апримеррофессиональнымбъективом.ini-Miервыйаынкетабилизаторстроеннойеспроводнойарядкой,отораяезишнихроводов,еозволиташемумартфонуазрядитьсяоремянергоемкогороцессаъемки.ромеого,ыожетеарядитьамтабилизатор,апримертнешнегоккумулятора,ерерываяроцессъемки.ozaini-Miредлагаетогатейшееазнообразиеежимовъемки,оторыеомогутоплотитьрактическиюбуюреативнуюдею.толассическиеежима:локировки,анорамированияолноголедования.акеазличныеомбинацииаклонововоротов.есплатноеобильноериложение,оступноеляOsndroid,меетогатейшийункционалножестворофессиональныхучныхастроек:окусировки,алансаелого,веточувствительности,ум,ыдержка,ветокоррекцияоаналамногоеругое.ункцияозволяеттабилизаторувтоматическиледитьаыбраннымбъектом,оворачиваясьследаим,ажеслиотинамичновижется.ромеого,табилизаторампособенпределятьвижущиесябъектыадреледитьаими.ножествоосадочныхнездезьбой/4юймаозволятакрепитьаini-Miополнительноеборудование,удьонешнийвет,икрофонлиноеборудование. ;Дополнительные функции :встроенная беспроводная зарядкаОсобенности конструкции :дополнительное крепление 1/4Нагрузка :50300 гШирина захвата :6192 ммПитание :аккумулятор 18650Ёмкость аккумулятора :2100 мАчНапряжение :7.4 ВВремя работы :10 чВремя зарядки :3.5 чПоворот оси Tilt :165 °Поворот оси Roll :310 °Поворот оси Pan :360 °Габариты :143107290 ммВес без упаковки :543 гТемпературный диапазон :-5°/+40°САртикул производителя :MG33Страна-производитель :КитайГарантия :12 (мес.)Весупаковкой :1130 г;9227;;Стабилизаторы
https://kremlinstore.ru/product/28369/;28369;Стабилизатор DJI Osmo Mobile 6;DJI;12 (мес.);Новейшая модель популярной серии мобильных стабилизаторов DJI Osmo Mobile спроектирована для оперативной подготовкеработе. Магнитный держатель можно установить на смартфон заранее, чтобы потом закрепить егоодно касание. Стабилизатор имеет эргономичный дизайн, небольшой вес. Его можно всегда братьсобойпоездки, путешествия, на отдых.сложенном состоянии он не занимает много места, идеально даже для поясной сумки. Osmo Mobileимеет новую трёхосевую систему стабилизациимаксимально мягким поворотом. Раскройтесебе настоящего режиссера или репортера благодаря красивым кинематографичным видео. Простая панель управления позволяет отслеживать уровень заряда аккумулятора, переключаться между режимами стабилизатора. Вы сможете подбирать подходящий для себя режим исходя из типа съемки. Легкийпонятный интерфейс значительно облегчает работу. Телескопическая конструкция позволяет использовать устройство как монопод. Вы сможете пойматьселфи всех друзейродных,также получить хороший обзор для крупных плановвысокого ракурса. Панель управления позволяет плавно регулировать зумфокус при помощи бокового колесика. Вы сможете максимально точно скорректировать фокусное расстояние, увеличить или уменьшить зум. Благодаря ему также можно быстро переключиться на ручную фокусировку при необходимости. ;Особенности конструкции :встроенный дисплей, складная конструкция, магнитное крепление, телескопическая конструкцияНагрузка :170290 гШирина захвата :6784 ммПитание :встроенный аккумуляторЁмкость аккумулятора :1000 мАчЭнергия аккумулятора :7.74 ВтчВремя работы :6.4 чВремя зарядки :1.5 чБыстрая зарядка :Power DeliveryПоворот оси Tilt :180.2 °Поворот оси Roll :332.3 °Поворот оси Pan :335.4 °Режимы съёмки :Face Tracking, Panorama, Timelapse, Dolly Zoom, Управление жестами, SelfieГабариты :276111.599 ммГабаритысложенном состоянии :18984.544 ммВес без упаковки :309 гТемпературный диапазон :от 0° до 40°САртикул производителя :CP.OS.00000213.01ВНИМАНИЕ :для пользователей iOs: на данный момент приложения DJI удалены из российского AppStore, для их установки рекомендуем воспользоваться альтернативными способамиСтрана-производитель :КитайГарантия :12 (мес.)Весупаковкой :640 г;17990;;Стабилизаторы
https://kremlinstore.ru/product/stabilizator-elektronnyy-moza-aircross-2/;21027;Стабилизатор MOZA AirCross 2;MOZA;12 (мес.);Конструкция долгожданного Aircrossвыполнен из магниевого сплава, что позволило значительно снизить массу стабилизатора докг, но увеличить его грузоподъёмность до 3,2 кг. Благодаря более просторной пластине для посадки камеры, удалось увеличить число совместимых моделей зеркальныхбеззеркальных аппаратов. Высокомощный аккумулятор на 3000 мАч обеспечит до 12 часов работы, даже при максимальной нагрузке. Батарея поддерживает технологию быстрой зарядки,Type-C подключение, при наличии зарядного устройства на 18 Вт, позволит пополнить энергозапас0 до 100% всего за 1.5 часа. Также предусмотрены выходы Multi-CAN на 7.8В. Inception Mode 3.0режим позволяет добиться эффекта из фильма Начало, при котором камера вращается вокруг оси. Обновленная версия получила умный контроль скоростиугла наклона. FPV включает режим фонарикавращением камеры. Особенно впечатляюще выглядит пролет на уровне пояса, вокруг множества объектов. Спортивный режим комбинирует резкие поворотымягким слежением.его помощью можно эффектно перевести камеруодного объекта на другой. Стабилизатор получил функцию мимического контроля, для которой теперь не нужен отдельный пульт, достаточно лишь вашего смартфонаустановленным приложением. Aircrossбудет повторять все движенияпространстве, что поможет снять прекрасныеплавные пролеты камерой. Добавленафункция слежения за объектом. Необходимо лишь выделить объектинтерфейсе приложениякамера больше не спуститнего глаз. Конструкторы Gudsen Mozaособым вниманием отнеслисьуправлению стабилизатором. Яркий LED экран, умное колесоджойстик помогут вам настроить работу Aircross 2,также управлять камерой. Интеллектуальная система способна сама подобрать верные параметры калибровки, избавляя вас от этой процедуры,видео от нежелательных вибраций. Удобная эргономичная ручка приятнаиспользовании. Для простоты работытранспортировки, на плечи стабилизатора добавлена возможность заблокировать их по каждой из трёх осей. Для установки дополнительного съёмочного оснащения предусмотрено одно отверстие под винт 3/8. Также присутствуют порты Multi-CAN при помощи которых можно запитать моторы follow focusиные устройства.комплектеAircrossдобавлена L-образная площадка, которая, благодаря своей необычной форме, позволяет поставить камеру как горизонтально, таквертикально. ;Особенности конструкции :встроенный дисплей, дополнительное крепление 3/8Нагрузка :3003200 гПитание :ACP03Ёмкость аккумулятора :3000 мАчЭнергия аккумулятора :21.6 ВтчВремя работы :12 чВремя зарядки :1.5 чПоворот оси Tilt :360 °Поворот оси Roll :360 °Поворот оси Pan :360 °Габариты :240170390 ммВес без упаковки :1050 гАртикул производителя :ACGN01Страна-производитель :КитайГарантия :12 (мес.)Весупаковкой :2550 г;24990;;Стабилизаторы
https://kremlinstore.ru/product/stabilizator-moza-aircross-2-utsenennyy-kat-a/;27088;Стабилизатор MOZA AirCross(Уцененный Кат А.);MOZA;6 (мес.);Внимание! Категория уценки A означает: полная комплектация без следов эксплуатации, но повреждена упаковка и/или пломба, либо незначительные недостатки. На товар распространяется полная гарантия срокоммесяцев. Детали уточняйтеменеджера после оформления заказа. Конструкция долгожданного Aircrossвыполнен из магниевого сплава, что позволило значительно снизить массу стабилизатора докг, но увеличить его грузоподъёмность до 3,2 кг. Благодаря более просторной пластине для посадки камеры, удалось увеличить число совместимых моделей зеркальныхбеззеркальных аппаратов. Высокомощный аккумулятор на 3000 мАч обеспечит до 12 часов работы, даже при максимальной нагрузке. Батарея поддерживает технологию быстрой зарядки,Type-C подключение, при наличии зарядного устройства на 18 Вт, позволит пополнить энергозапас0 до 100% всего за 1.5 часа. Также предусмотрены выходы Multi-CAN на 7.8В. Inception Mode 3.0режим позволяет добиться эффекта из фильма Начало, при котором камера вращается вокруг оси. Обновленная версия получила умный контроль скоростиугла наклона. FPV включает режим фонарикавращением камеры. Особенно впечатляюще выглядит пролет на уровне пояса, вокруг множества объектов. Спортивный режим комбинирует резкие поворотымягким слежением.его помощью можно эффектно перевести камеруодного объекта на другой. Стабилизатор получил функцию мимического контроля, для которой теперь не нужен отдельный пульт, достаточно лишь вашего смартфонаустановленным приложением. Aircrossбудет повторять все движенияпространстве, что поможет снять прекрасныеплавные пролеты камерой. Добавленафункция слежения за объектом. Необходимо лишь выделить объектинтерфейсе приложениякамера больше не спуститнего глаз. Конструкторы Gudsen Mozaособым вниманием отнеслисьуправлению стабилизатором. Яркий LED экран, умное колесоджойстик помогут вам настроить работу Aircross 2,также управлять камерой. Интеллектуальная система способна сама подобрать верные параметры калибровки, избавляя вас от этой процедуры,видео от нежелательных вибраций. Удобная эргономичная ручка приятнаиспользовании. Для простоты работытранспортировки, на плечи стабилизатора добавлена возможность заблокировать их по каждой из трёх осей. Для установки дополнительного съёмочного оснащения предусмотрено одно отверстие под винт 3/8. Также присутствуют порты Multi-CAN при помощи которых можно запитать моторы follow focusиные устройства.комплектеAircrossдобавлена L-образная площадка, которая, благодаря своей необычной форме, позволяет поставить камеру как горизонтально, таквертикально. ;Снятпроизводства :ДаОсобенности конструкции :встроенный дисплей, дополнительное крепление 3/8Нагрузка :3003200 гПитание :ACP03Ёмкость аккумулятора :3000 мАчЭнергия аккумулятора :21.6 ВтчВремя работы :12 чВремя зарядки :1.5 чПоворот оси Tilt :360 °Поворот оси Roll :360 °Поворот оси Pan :360 °Габариты :240170390 ммВес без упаковки :1050 гСтрана-производитель :КитайГарантия :6 (мес.)Весупаковкой :2550 г;19990;;Стабилизаторы
https://kremlinstore.ru/product/28923/;28923;Стабилизатор Zhiyun Smooth 5S Combo Серый;Zhiyun;12 (мес.);Мастерская Zhiyun не останавливается на достигнутомновое поколение мобильных стедикамов тому подтверждение. Эргономика старых популярных моделей подкрепленная обновленным функционалом даст возможность снять свой лучший сюжеткинематографичной плавностью. Конструкция подвеса спроектированасоответствиисовременными стандартами,профессиональная стабилизация любой оси гарантирует получение качественного материала. Самый популярные режимы были доработаны, чтобы вы смогли получить лучший результат. Dolly Zoom можно воспроизвести как при помощи колесика, такчерез приложение. Не забылипро полюбившийся многим Vortex,также креативные Time Lapse. Необычный режим MagicClone Panorama поможет сделать забавное фото, на котором один человек сможет себя попробоватьразных ролях. На подвес установлена светодиодная панель яркостью650люкс, благодаря чему вы сможете выделить главноекадре. Также есть возможность установки дополнительного осветителя, способного выдать до 2040 люкс на 0.3м. Цветовая температура 5500К,индекс цветопередачи CRI 90+. Встроеннаярукоятку батарея обеспечивает функционирование Smooth 5S на время от 24 до 2.5 часовзависимости от интенсивности работы. Пополнить энергозапас можно посредством скоростного порта Type-C PD. Сетевой адаптер на 15 Вт справитсяэтой задачей зачаса. ;Нагрузка :150300 гПитание :встроенный аккумуляторВремя работы :24 чВремя зарядки :2 чПоворот оси Tilt :209 °Поворот оси Roll :259 °Поворот оси Pan :180 °Габариты :31116852 ммВес без упаковки :625 гАртикул производителя :A03273Совместимость :ZY Cami, StaCam, Filmic Pro Functionality: Adjust Settings, Remote Control, Setup, View Live FeedСтрана-производитель :КитайГарантия :12 (мес.)Весупаковкой :1530 г;18990;;Стабилизаторы
https://kremlinstore.ru/product/stabilizator-elektronnyy-zhiyun-crane-m2/;17056;Стабилизатор Zhiyun Crane M2;Zhiyun;12 (мес.);Компактныйлёгкий стабилизатор от Zhiyun поддерживает работу сразутремя различными видами устройств. Вы сможете установить на него смартфон, GoPro или даже легковесную беззеркальную камеру. Шесть художественных режимов съёмки помогут вам раскрыть свой творческий потенциал,система запоминания настроек позволит сэкономить время для подготовкиработе. Всего лишь нажатием кнопки на ручке стабилизатора вы сможете сменять режимы работы Crane M2. Доступны блокировки одной из осейвсех одновременно. Также предусмотрен POV режимкрасивым наклоном,Vortexвращением вокруг оси. Привычный спортивный режим тут получил название GOпревосходно подойдет для съёмкибыстрой сменой кадра. Для контроля за функциямирабочими параметрами на рукоятке стедикама присутствует LED дисплей. Сменить режим можно при помощи кнопки M,классический красный кружочек служит для спуска. На правую сторону отдельно вынесен контроль приближения. Фирменное приложение Zhiyun даст более удобную настройку рабочих параметров,даже сможет превратить ваш смартфонпульт управления при съёмкекамеры. Стабилизатор можно заблокироватьодно движение, что очень удобно для хранениятранспортировки.комплекте со стабилизатором идет универсальная площадка,длинным отверстием для крепления камерыкоротким для смартфонаGoPro. Специальный зажим позволяет запомнить настройки балансировки,значитследующий раз вам не придется останавливаться на этой процедуре. ;Особенности конструкции :встроенный дисплейНагрузка :130720 гВремя работы :7 чВремя зарядки :2 чПоворот оси Tilt :310 °Поворот оси Roll :324 °Поворот оси Pan :360 °Материал :пластикАртикул производителя :C020016EURСтрана-производитель :КитайГарантия :12 (мес.)Весупаковкой :940 г;24990;;Стабилизаторы
https://kremlinstore.ru/product/28924/;28924;Cтабилизатор Zhiyun Smooth 5S Серый;Zhiyun;12 (мес.);Мастерская Zhiyun не останавливается на достигнутомновое поколение мобильных стедикамов тому подтверждение. Эргономика старых популярных моделей подкрепленная обновленным функционалом даст возможность снять свой лучший сюжеткинематографичной плавностью. Конструкция подвеса спроектированасоответствиисовременными стандартами,профессиональная стабилизация любой оси гарантирует получение качественного материала. Самый популярные режимы были доработаны, чтобы вы смогли получить лучший результат. Dolly Zoom можно воспроизвести как при помощи колесика, такчерез приложение. Не забылипро полюбившийся многим Vortex,также креативные Time Lapse. Необычный режим MagicClone Panorama поможет сделать забавное фото, на котором один человек сможет себя попробоватьразных ролях. На подвес установлена светодиодная панель яркостью650люкс, благодаря чему вы сможете выделить главноекадре. Также есть возможность установки дополнительного осветителя (приобретается отдельно), способного выдать до 2040 люкс на 0.3м. Цветовая температура 5500К,индекс цветопередачи CRI 90+. Встроеннаярукоятку батарея обеспечивает функционирование Smooth 5S на время от 24 до 2.5 часовзависимости от интенсивности работы. Пополнить энергозапас можно посредством скоростного порта Type-C PD. Сетевой адаптер на 15 Вт справитсяэтой задачей зачаса. ;Нагрузка :150300 гПитание :встроенный аккумуляторВремя работы :24 чВремя зарядки :2 чПоворот оси Tilt :209 °Поворот оси Roll :259 °Поворот оси Pan :180 °Габариты :31116852 ммВес без упаковки :625 гАртикул производителя :A03272Совместимость :ZY Cami, StaCam, Filmic Pro Functionality: Adjust Settings, Remote Control, Setup, View Live FeedСтрана-производитель :КитайГарантия :12 (мес.)Весупаковкой :1000 г;14990;;Стабилизаторы
https://kremlinstore.ru/product/29607/;29607;Стабилизатор Zhiyun Crane 2;Zhiyun;12 (мес.);Второе поколение самого качественногопопулярного одноручного электронного стабилизатора для камерМире призван упрочить лидерство на рынке благодаря множеству инновационных преимуществ: Crane- первыйМире стабилизатор, оснащенный встроенной возможностью управления фокусом камеры пряморукоятки при помощи соответствующего диска. Пользователь может настраивать скорость фокусировки, выбрав из 4х режимов. Подключение происходит комплектным кабелем. Совместимостькамерами Canon. Для камер SonyPanasonic необходим механический контроллер фоллоу фокуса Zhiyun Servo Follow Focus CMF-01 (прошивка Craneдолжна быть минимум 1.70). Crane- первыйМире стабилизатор, оснащенный встроенной возможностью управления фокусом камеры пряморукоятки при помощи соответствующего диска. Пользователь может настраивать скорость фокусировки, выбрав из 4х режимов. Подключение происходит комплектным кабелем. Совместимостькамерами Canon. Для камер SonyPanasonic необходим механический контроллер фоллоу фокуса Zhiyun Servo Follow Focus CMF-01 (прошивка Craneдолжна быть минимум 1.70). Инновационный миниатюрный диск управления, который функционируеткак кнопка, расположился на рукоятке. Он является как бы выносным элементом управления камерыпозволяет моментально менять настройки ISO, Выдержку, Диафрагму, Компенсацию экспозициидр. (для совместимых камер). Уже 6е алгоритмическое поколение моторов позволило увеличить максимальную нагрузку до 3.2 килограмм,время отклика сократить вдвое, перекрыв весь рынок полупрофессиональныхзначительную долю профессиональных камер, обеспечивая кинематографически плавную стабилизацию дажеэкстремальных условиях. Три энергоэффективные аккумулятора 18650 емкостью 6000mah позволяют Craneпроработать на одном заряде беспрецедентные 18 часов, позволяятому же заряжать камеру во время работы (для совместимых камер). Второй Crane оснащен быстросъемной площадкой стандарта Manfrotto, позволяющей быстро сниматьставить камеру со стабилизатора на штативобратно. Craneкомплектуется проводами для управления камерами, триподом из авиационного алюминиятранспортировочным кейсом. Кроме того обновленная версия 2018 года теперь включает механический модуль Servo Focus, для управления фокусировкой на любой камере. Новинка оснащена системой плавного опускания, предотвращающей повреждение камеры или объектива при резком падениирезультате разрядки аккумуляторов. ;Нагрузка :5003200 гПитание :аккумулятор 18650 х3Время работы :18 чВремя зарядки :2.5 чПоворот оси Tilt :320 °Поворот оси Roll :360 °Поворот оси Pan :360 °Габариты :210118450 ммВес без упаковки :1250 гТемпературный диапазон :-10°С/+45°ССтрана-производитель :КитайГарантия :12 (мес.)Весупаковкой :1 г;24990;;Стабилизаторы
https://kremlinstore.ru/product/29189/;29189;Стабилизатор DJI RSMini;DJI;12 (мес.);Первая миниатюрная модель профессионального стабилизаторасерии RS создана специально для беззеркальных камер. RSMini весит менее 800г, что легче RSна 40%,RSPro на целых 50%,значит процесс съёмки станет еще более лёгкимвы сможете дольше отдаваться творчеству. Самая передовая система стабилизации третьего поколения от DJI позволяет работатьполезной нагрузкой докг. Потрясающая плавностькинематографичность кадра гарантирована даже при съёмке на бегу. Инновационная конструкция позволяет установить площадку стандарта ARCAкамерой прямо на плечо оси Tilt, что позволяет сниматьвертикальном формате без дополнительных приспособлений. Предусмотрено крепление Nato для установки дополнительных аксессуаров вроде рукоятки. Цветной сенсорный дисплей 1.4делает управление RSMini простыминтуитивно понятным. Все органы управления расположены максимально удобны для контроля работы одной рукой. Также есть возможность подключить мобильное приложение для использования особых режимов. Запас аккумуляторарукоятке обеспечит 10 часов беспрерывной работы, чего хватит на целый рабочий день. Благодаря быстрой зарядке Type-C подзарядить стедикам можно всего за 2.5 часа. ;Особенности конструкции :сенсорный дисплейНагрузка :4002000 гПитание :встроенный аккумуляторЁмкость аккумулятора :2450 мАчНапряжение :7.2 ВЭнергия аккумулятора :17.64 ВтчВремя работы :10 чВремя зарядки :2.5 чБыстрая зарядка :Power DeliveryПоворот оси Tilt :320 °Поворот оси Roll :335 °Поворот оси Pan :360 °Режимы съёмки :Panorama, Timelapse, Pan Following, FPV, PanTilt Following, TrackГабариты :180159296 ммГабаритысложенном состоянии :32319598 ммВес без упаковки :795 гВНИМАНИЕ :для пользователей iOs: на данный момент приложения DJI удалены из российского AppStore, для их установки рекомендуем воспользоваться альтернативными способамиСтрана-производитель :КитайГарантия :12 (мес.)Весупаковкой :1537 г;38990;;Стабилизаторы
https://kremlinstore.ru/product/29204/;29204;Стабилизатор Feiyu SCORP-Mini;Feiyu;12 (мес.);Стабилизатор Feiyu SCORP-Miniэто облегченная модель, что имеет удобную конструкциюхватом, позволяющим сниматьлюбом положении. Он подходит для беззеркальной камеры, смартфонаэкшн камеры, что делает его универсальнымудобным для использованияразличных условиях. Сенсорный дисплей 1.3мобильное приложение позволяют управлять настройками стабилизатораконтролировать процесс съемки. Feiyu SCORP-Mini поддерживает множество режимов съемки, что позволяет создавать красивое киноэффектами стабилизацииплавных переходов. Он является незаменимым инструментом для профессиональных фотографоввидеографов,также для любителей, которые хотят получить высококачественные снимки без дополнительных усилий. Изготовленный из легкого алюминиясплава магния, вес стабилизатора всего 787 грамм, что позволяет брать егособойпутешествияиспользовать на длительных съемках без дискомфорта.;Особенности конструкции :встроенный дисплейНагрузка :— 1200 гПитание :встроенный аккумуляторЁмкость аккумулятора :2500 мАчНапряжение :8.4 ВВремя работы :13 чВремя зарядки :1.6 чБыстрая зарядка :Power DeliveryПоворот оси Tilt :155 °Поворот оси Roll :40 °Поворот оси Pan :360 °Быстросъёмная площадка :Arca SwissГабариты :228179272 ммГабаритысложенном состоянии :227114288 ммВес без упаковки :787 гМатериал :алюминий, резинаАртикул производителя :FY SCORP-MINIСтрана-производитель :КитайГарантия :12 (мес.)Весупаковкой :1436 г;24490;;Стабилизаторы
